SC_Stimuli,trials_stimuli.thisRepN,trials_stimuli.thisTrialN,trials_stimuli.thisN,trials_stimuli.thisIndex,text_Instruction.started,text_Instruction.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.started,key_resp_start.stopped,text_SC_task.started,text_SC_task.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,5.974527799990028,None,space,1.7408373000798747,5.974527799990028,None,,,001,,2020_Jul_24_1010,SC_experiment,3.2.4,60.03842461874288,
Nach dem Theaterstück ernteten sie viel _____.,0,0,0,0,,,,,,,7.79349509999156,None,001,,2020_Jul_24_1010,SC_experiment,3.2.4,60.03842461874288,
Das einsame Küken sucht seine _____.,0,1,1,1,,,,,,,13.799341900041327,None,001,,2020_Jul_24_1010,SC_experiment,3.2.4,60.03842461874288,
Schimpansen sind eine Gattung von _____.,0,2,2,2,,,,,,,19.794012399972416,None,001,,2020_Jul_24_1010,SC_experiment,3.2.4,60.03842461874288,
Das Kätzchen kletterte auf einen _____.,0,3,3,3,,,,,,,25.77489300002344,None,001,,2020_Jul_24_1010,SC_experiment,3.2.4,60.03842461874288,
L vhpgjhll chkg bhp nlng _____.,0,4,4,4,,,,,,,31.76868820004165,None,001,,2020_Jul_24_1010,SC_experiment,3.2.4,60.03842461874288,
Ibg knnkpyxg kg snpsrg lp _____.,0,5,5,5,,,,,,,37.78580830001738,None,001,,2020_Jul_24_1010,SC_experiment,3.2.4,60.03842461874288,
