SC_Stimuli,trials_stimuli.thisRepN,trials_stimuli.thisTrialN,trials_stimuli.thisN,trials_stimuli.thisIndex,text_Instruction.started,text_Instruction.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.started,key_resp_start.stopped,text_SC_task.started,text_SC_task.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,5.40666079998482,None,space,0.562057500006631,5.40666079998482,None,,,001,,2020_Jul_24_1011,SC_experiment,3.2.4,59.976561135041734,
Nach dem Theaterstück ernteten sie viel _____.,0,0,0,0,,,,,,,6.040882100001909,None,001,,2020_Jul_24_1011,SC_experiment,3.2.4,59.976561135041734,
Das einsame Küken sucht seine _____.,0,1,1,1,,,,,,,12.011411599931307,None,001,,2020_Jul_24_1011,SC_experiment,3.2.4,59.976561135041734,
Schimpansen sind eine Gattung von _____.,0,2,2,2,,,,,,,18.029989999951795,None,001,,2020_Jul_24_1011,SC_experiment,3.2.4,59.976561135041734,
Das Kätzchen kletterte auf einen _____.,0,3,3,3,,,,,,,24.011921099969186,None,001,,2020_Jul_24_1011,SC_experiment,3.2.4,59.976561135041734,
