SC_Stimuli,trials_stimuli.thisRepN,trials_stimuli.thisTrialN,trials_stimuli.thisN,trials_stimuli.thisIndex,text_Instruction.started,text_Instruction.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.started,key_resp_start.stopped,text_SC_task.started,text_SC_task.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,5.457904200069606,None,space,0.68025029997807,5.457904200069606,None,,,001,,2020_Jul_24_1011,SC_experiment,3.2.4,59.962679223495506,
Nach dem Theaterstück ernteten sie viel _____.,0,0,0,0,,,,,,,6.2377389000030234,None,001,,2020_Jul_24_1011,SC_experiment,3.2.4,59.962679223495506,
Das einsame Küken sucht seine _____.,0,1,1,1,,,,,,,12.221120000001974,None,001,,2020_Jul_24_1011,SC_experiment,3.2.4,59.962679223495506,
Schimpansen sind eine Gattung von _____.,0,2,2,2,,,,,,,18.22046630003024,None,001,,2020_Jul_24_1011,SC_experiment,3.2.4,59.962679223495506,
Das Kätzchen kletterte auf einen _____.,0,3,3,3,,,,,,,24.205859999987297,None,001,,2020_Jul_24_1011,SC_experiment,3.2.4,59.962679223495506,
