1.3616 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
161.5412 	EXP 	New trial (rep=0, index=15): OrderedDict([('letter', 'U')])
161.5556 	EXP 	text_3: autoDraw = False
161.5556 	EXP 	text_3: text = 'U'
161.5556 	EXP 	text_3: autoDraw = True
171.5422 	EXP 	New trial (rep=0, index=16): OrderedDict([('letter', 'թ')])
171.5590 	EXP 	text_3: autoDraw = False
171.5590 	EXP 	text_3: text = 'թ'
171.5590 	EXP 	text_3: autoDraw = True
181.5442 	EXP 	New trial (rep=0, index=17): OrderedDict([('letter', 'წ')])
181.5710 	EXP 	text_3: autoDraw = False
181.5710 	EXP 	text_3: text = 'წ'
181.5710 	EXP 	text_3: autoDraw = True
191.5423 	EXP 	New trial (rep=0, index=18): OrderedDict([('letter', 'L')])
191.5576 	EXP 	text_3: autoDraw = False
191.5576 	EXP 	text_3: text = 'L'
191.5576 	EXP 	text_3: autoDraw = True
201.5455 	EXP 	New trial (rep=0, index=19): OrderedDict([('letter', 'S')])
201.5694 	EXP 	text_3: autoDraw = False
201.5694 	EXP 	text_3: text = 'S'
201.5694 	EXP 	text_3: autoDraw = True
211.5452 	EXP 	New trial (rep=0, index=20): OrderedDict([('letter', 'თ')])
211.5619 	EXP 	text_3: autoDraw = False
211.5619 	EXP 	text_3: text = 'თ'
211.5619 	EXP 	text_3: autoDraw = True
221.5449 	EXP 	New trial (rep=0, index=21): OrderedDict([('letter', 'ჯ')])
221.5609 	EXP 	text_3: autoDraw = False
221.5609 	EXP 	text_3: text = 'ჯ'
221.5609 	EXP 	text_3: autoDraw = True
231.5442 	EXP 	New trial (rep=0, index=22): OrderedDict([('letter', 'T')])
231.5594 	EXP 	text_3: autoDraw = False
231.5594 	EXP 	text_3: text = 'T'
231.5594 	EXP 	text_3: autoDraw = True
241.5456 	EXP 	New trial (rep=0, index=23): OrderedDict([('letter', 'P')])
241.5602 	EXP 	text_3: autoDraw = False
241.5602 	EXP 	text_3: text = 'P'
241.5602 	EXP 	text_3: autoDraw = True
251.5458 	EXP 	New trial (rep=1, index=0): OrderedDict([('letter', 'ծ')])
251.5608 	EXP 	text_3: autoDraw = False
251.5608 	EXP 	text_3: text = 'ծ'
251.5608 	EXP 	text_3: autoDraw = True
261.5484 	EXP 	New trial (rep=1, index=1): OrderedDict([('letter', 'ճ')])
261.5631 	EXP 	text_3: autoDraw = False
261.5631 	EXP 	text_3: text = 'ճ'
261.5631 	EXP 	text_3: autoDraw = True
271.5485 	EXP 	New trial (rep=1, index=2): OrderedDict([('letter', 'D')])
271.5627 	EXP 	text_3: autoDraw = False
271.5627 	EXP 	text_3: text = 'D'
271.5627 	EXP 	text_3: autoDraw = True
281.5511 	EXP 	New trial (rep=1, index=3): OrderedDict([('letter', 'A')])
281.5653 	EXP 	text_3: autoDraw = False
281.5653 	EXP 	text_3: text = 'A'
281.5653 	EXP 	text_3: autoDraw = True
291.5483 	EXP 	New trial (rep=1, index=4): OrderedDict([('letter', '\u1cb0')])
291.5632 	EXP 	text_3: autoDraw = False
291.5632 	EXP 	text_3: text = '\u1cb0'
291.5632 	EXP 	text_3: autoDraw = True
301.5493 	EXP 	New trial (rep=1, index=5): OrderedDict([('letter', '\u1ca4')])
301.5638 	EXP 	text_3: autoDraw = False
301.5638 	EXP 	text_3: text = '\u1ca4'
301.5638 	EXP 	text_3: autoDraw = True
311.5485 	EXP 	New trial (rep=1, index=6): OrderedDict([('letter', 'V')])
311.5636 	EXP 	text_3: autoDraw = False
311.5636 	EXP 	text_3: text = 'V'
311.5636 	EXP 	text_3: autoDraw = True
321.5489 	EXP 	New trial (rep=1, index=7): OrderedDict([('letter', 'E')])
321.5641 	EXP 	text_3: autoDraw = False
321.5641 	EXP 	text_3: text = 'E'
321.5641 	EXP 	text_3: autoDraw = True
331.5498 	EXP 	New trial (rep=1, index=8): OrderedDict([('letter', '\u1caa')])
331.5645 	EXP 	text_3: autoDraw = False
331.5645 	EXP 	text_3: text = '\u1caa'
331.5645 	EXP 	text_3: autoDraw = True
341.5512 	EXP 	New trial (rep=1, index=9): OrderedDict([('letter', 'ᴌ')])
341.5658 	EXP 	text_3: autoDraw = False
341.5658 	EXP 	text_3: text = 'ᴌ'
341.5658 	EXP 	text_3: autoDraw = True
351.5540 	EXP 	New trial (rep=1, index=10): OrderedDict([('letter', 'M')])
351.5660 	EXP 	text_3: autoDraw = False
351.5660 	EXP 	text_3: text = 'M'
351.5660 	EXP 	text_3: autoDraw = True
361.5548 	EXP 	New trial (rep=1, index=11): OrderedDict([('letter', 'I')])
361.5671 	EXP 	text_3: autoDraw = False
361.5671 	EXP 	text_3: text = 'I'
361.5671 	EXP 	text_3: autoDraw = True
371.5532 	EXP 	New trial (rep=1, index=12): OrderedDict([('letter', 'ջ')])
371.5676 	EXP 	text_3: autoDraw = False
371.5676 	EXP 	text_3: text = 'ջ'
371.5676 	EXP 	text_3: autoDraw = True
381.5552 	EXP 	New trial (rep=1, index=13): OrderedDict([('letter', '֏')])
381.5705 	EXP 	text_3: autoDraw = False
381.5705 	EXP 	text_3: text = '֏'
381.5705 	EXP 	text_3: autoDraw = True
391.5528 	EXP 	New trial (rep=1, index=14): OrderedDict([('letter', 'K')])
391.5676 	EXP 	text_3: autoDraw = False
391.5676 	EXP 	text_3: text = 'K'
391.5676 	EXP 	text_3: autoDraw = True
401.5526 	EXP 	New trial (rep=1, index=15): OrderedDict([('letter', 'U')])
401.5685 	EXP 	text_3: autoDraw = False
401.5685 	EXP 	text_3: text = 'U'
401.5685 	EXP 	text_3: autoDraw = True
411.5534 	EXP 	New trial (rep=1, index=16): OrderedDict([('letter', 'թ')])
411.5690 	EXP 	text_3: autoDraw = False
411.5690 	EXP 	text_3: text = 'թ'
411.5690 	EXP 	text_3: autoDraw = True
421.5555 	EXP 	New trial (rep=1, index=17): OrderedDict([('letter', 'წ')])
421.5696 	EXP 	text_3: autoDraw = False
421.5696 	EXP 	text_3: text = 'წ'
421.5696 	EXP 	text_3: autoDraw = True
431.5549 	EXP 	New trial (rep=1, index=18): OrderedDict([('letter', 'L')])
431.5693 	EXP 	text_3: autoDraw = False
431.5693 	EXP 	text_3: text = 'L'
431.5693 	EXP 	text_3: autoDraw = True
441.5413 	EXP 	New trial (rep=1, index=19): OrderedDict([('letter', 'S')])
441.5548 	EXP 	text_3: autoDraw = False
441.5548 	EXP 	text_3: text = 'S'
441.5548 	EXP 	text_3: autoDraw = True
451.5411 	EXP 	New trial (rep=1, index=20): OrderedDict([('letter', 'თ')])
451.5589 	EXP 	text_3: autoDraw = False
451.5589 	EXP 	text_3: text = 'თ'
451.5589 	EXP 	text_3: autoDraw = True
461.5395 	EXP 	New trial (rep=1, index=21): OrderedDict([('letter', 'ჯ')])
461.5546 	EXP 	text_3: autoDraw = False
461.5546 	EXP 	text_3: text = 'ჯ'
461.5546 	EXP 	text_3: autoDraw = True
471.5395 	EXP 	New trial (rep=1, index=22): OrderedDict([('letter', 'T')])
471.5547 	EXP 	text_3: autoDraw = False
471.5547 	EXP 	text_3: text = 'T'
471.5547 	EXP 	text_3: autoDraw = True
481.5434 	EXP 	New trial (rep=1, index=23): OrderedDict([('letter', 'P')])
481.5567 	EXP 	text_3: autoDraw = False
481.5567 	EXP 	text_3: text = 'P'
481.5567 	EXP 	text_3: autoDraw = True
491.5404 	EXP 	New trial (rep=2, index=0): OrderedDict([('letter', 'ծ')])
491.5556 	EXP 	text_3: autoDraw = False
491.5556 	EXP 	text_3: text = 'ծ'
491.5556 	EXP 	text_3: autoDraw = True
