SC_Stimuli,trials_stimuli.thisRepN,trials_stimuli.thisTrialN,trials_stimuli.thisN,trials_stimuli.thisIndex,text_Instruction.started,text_Instruction.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.started,key_resp_start.stopped,text_SC_task.started,text_SC_task.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,6.003516799886711,None,space,0.9993586000055075,6.003516799886711,None,,,001,,2020_Jul_24_1009,SC_experiment,3.2.4,59.93978448058642,
Nach dem Theaterstück ernteten sie viel _____.,0,0,0,0,,,,,,,7.117858499987051,None,001,,2020_Jul_24_1009,SC_experiment,3.2.4,59.93978448058642,
Das einsame Küken sucht seine _____.,0,1,1,1,,,,,,,13.061710699927062,None,001,,2020_Jul_24_1009,SC_experiment,3.2.4,59.93978448058642,
Schimpansen sind eine Gattung von _____.,0,2,2,2,,,,,,,19.073413099977188,None,001,,2020_Jul_24_1009,SC_experiment,3.2.4,59.93978448058642,
Das Kätzchen kletterte auf einen _____.,0,3,3,3,,,,,,,25.043341499986127,None,001,,2020_Jul_24_1009,SC_experiment,3.2.4,59.93978448058642,
